wkt;

"POINT (-111.9781638 33.3836480)"
"POINT (-111.9781774 33.3800072)"
"POINT (-111.9782124 33.3800068)"
"POINT (-111.9782180 33.3784196)"
"POINT (-111.9781828 33.3783929)"
"POINT (-111.9781935 33.3766778)"
"POINT (-111.9780657 33.3766560)"
"POINT (-111.9774066 33.3766665)"
"POINT (-111.9769761 33.3767522)"
"POINT (-111.9765303 33.3767783)"
"POINT (-111.9756424 33.3767088)"
"POINT (-111.9752465 33.3767153)"
"POINT (-111.9751637 33.3767192)"
"POINT (-111.9749481 33.3767753)"
"POINT (-111.9749469 33.3768092)"
"POINT (-111.9746334 33.3769270)"
"POINT (-111.9741710 33.3770988)"
"POINT (-111.9738375 33.3772276)"
"POINT (-111.9736922 33.3772708)"
"POINT (-111.9735122 33.3773127)"
"POINT (-111.9734819 33.3773179)"
"POINT (-111.9731963 33.3773499)"
"POINT (-111.9725674 33.3773897)"
"POINT (-111.9722133 33.3774155)"
"POINT (-111.9721253 33.3774216)"
"POINT (-111.9719123 33.3774327)"
"POINT (-111.9714559 33.3774681)"
"POINT (-111.9706249 33.3775168)"
"POINT (-111.9705786 33.3775190)"
"POINT (-111.9705761 33.3775191)"
"POINT (-111.9703385 33.3775186)"
"POINT (-111.9702320 33.3775110)"
"POINT (-111.9701170 33.3775007)"
"POINT (-111.9700671 33.3774956)"
"POINT (-111.9699272 33.3774761)"
"POINT (-111.9697814 33.3774570)"
"POINT (-111.9687863 33.3772751)"

"POINT (-111.9092622 33.4512717)"
"POINT (-111.9097086 33.4512750)"
"POINT (-111.9157603 33.4512510)"
"POINT (-111.9157594 33.4476308)"
"POINT (-111.9179501 33.4476328)"
"POINT (-111.9179120 33.4510999)"
"POINT (-111.9200311 33.4510948)"
"POINT (-111.9200301 33.4511488)"
"POINT (-111.9246345 33.4511411)"
"POINT (-111.9246351 33.4510869)"
"POINT (-111.9262468 33.4510842)"
"POINT (-111.9261260 33.4583531)"
"POINT (-111.9264740 33.4583486)"
"POINT (-111.9264760 33.4583705)"
"POINT (-111.9264847 33.4583856)"
"POINT (-111.9264988 33.4583956)"
"POINT (-111.9265202 33.4584046)"
"POINT (-111.9265181 33.4585531)"
"POINT (-111.9393724 33.4583701)"
"POINT (-111.9392823 33.4653292)"

"POINT (-111.9092622 33.4512717)"
"POINT (-111.9096333 33.4367570)"
"POINT (-111.9052437 33.4367647)"

"POINT (-111.8918889 33.4330364)"
"POINT (-111.8941148 33.4330335)"
"POINT (-111.8946713 33.4337509)"
"POINT (-111.8951578 33.4341386)"
"POINT (-111.8952165 33.4341677)"
"POINT (-111.8952447 33.4341543)"
"POINT (-111.8952765 33.4341733)"
"POINT (-111.8952725 33.4341971)"
"POINT (-111.8962535 33.4347193)"
"POINT (-111.8978910 33.4351204)"
"POINT (-111.8989023 33.4350389)"
"POINT (-111.9014556 33.4348331)"
"POINT (-111.9014627 33.4348942)"
"POINT (-111.9048166 33.4345584)"
"POINT (-111.9050888 33.4345227)"
"POINT (-111.9052437 33.4367647)"

"POINT (-111.8774250 33.4222064)"
"POINT (-111.8828815 33.4221844)"
"POINT (-111.8827186 33.4292404)"
"POINT (-111.8828530 33.4292421)"
"POINT (-111.8828517 33.4293660)"
"POINT (-111.8916316 33.4292975)"
"POINT (-111.8917586 33.4292996)"
"POINT (-111.8918889 33.4330364)"

"POINT (-111.8816586 33.3857604)"
"POINT (-111.8810080 33.3860434)"
"POINT (-111.8805694 33.3866301)"
"POINT (-111.8801808 33.3872813)"
"POINT (-111.8800324 33.3875772)"
"POINT (-111.8799508 33.3879023)"
"POINT (-111.8799606 33.3883080)"
"POINT (-111.8803032 33.3931529)"
"POINT (-111.8803272 33.3932510)"
"POINT (-111.8803603 33.3933295)"
"POINT (-111.8809236 33.3941582)"
"POINT (-111.8818787 33.3954664)"
"POINT (-111.8822651 33.3959939)"
"POINT (-111.8822789 33.3959932)"
"POINT (-111.8832576 33.3973249)"
"POINT (-111.8842087 33.3986631)"
"POINT (-111.8848702 33.3996084)"
"POINT (-111.8852736 33.4002989)"
"POINT (-111.8857482 33.4010950)"
"POINT (-111.8859220 33.4014156)"
"POINT (-111.8861315 33.4018012)"
"POINT (-111.8863288 33.4021870)"
"POINT (-111.8863998 33.4023369)"
"POINT (-111.8866036 33.4028096)"
"POINT (-111.8870336 33.4038735)"
"POINT (-111.8875812 33.4051825)"
"POINT (-111.8881447 33.4065541)"
"POINT (-111.8886164 33.4077521)"
"POINT (-111.8889841 33.4086560)"
"POINT (-111.8890462 33.4088974)"
"POINT (-111.8890714 33.4091551)"
"POINT (-111.8890789 33.4097468)"
"POINT (-111.8890629 33.4099415)"
"POINT (-111.8890270 33.4102064)"
"POINT (-111.8888796 33.4105267)"
"POINT (-111.8887640 33.4107362)"
"POINT (-111.8885889 33.4110033)"
"POINT (-111.8884336 33.4112383)"
"POINT (-111.8878929 33.4119279)"
"POINT (-111.8876256 33.4122173)"
"POINT (-111.8859379 33.4138197)"
"POINT (-111.8848235 33.4149506)"
"POINT (-111.8824513 33.4172760)"
"POINT (-111.8821921 33.4174942)"
"POINT (-111.8818620 33.4177470)"
"POINT (-111.8786288 33.4201886)"
"POINT (-111.8783640 33.4205774)"
"POINT (-111.8774250 33.4222064)"

"POINT (-111.8939061 33.3568470)"
"POINT (-111.8943634 33.3568756)"
"POINT (-111.8944023 33.3619902)"
"POINT (-111.8943012 33.3639961)"
"POINT (-111.8941249 33.3643106)"
"POINT (-111.8934720 33.3773799)"
"POINT (-111.8932535 33.3792748)"
"POINT (-111.8932267 33.3795212)"
"POINT (-111.8930926 33.3800453)"
"POINT (-111.8928428 33.3806874)"
"POINT (-111.8921163 33.3815762)"
"POINT (-111.8876670 33.3842983)"
"POINT (-111.8872595 33.3845028)"
"POINT (-111.8866639 33.3846923)"
"POINT (-111.8847603 33.3849480)"
"POINT (-111.8843762 33.3850312)"
"POINT (-111.8833213 33.3852817)"
"POINT (-111.8816586 33.3857604)"

"POINT (-111.8935972 33.3275680)"
"POINT (-111.8934224 33.3340807)"
"POINT (-111.8932403 33.3340830)"
"POINT (-111.8932242 33.3347251)"
"POINT (-111.8934037 33.3347217)"
"POINT (-111.8934006 33.3348119)"
"POINT (-111.8938233 33.3493451)"
"POINT (-111.8939061 33.3568470)"

"POINT (-111.9279782 33.3201242)"
"POINT (-111.9280365 33.3236755)"
"POINT (-111.9196967 33.3236723)"
"POINT (-111.9197274 33.3272706)"
"POINT (-111.9194833 33.3272891)"
"POINT (-111.9194002 33.3273013)"
"POINT (-111.9193183 33.3273182)"
"POINT (-111.9192517 33.3273357)"
"POINT (-111.9191862 33.3273563)"
"POINT (-111.9112656 33.3273551)"
"POINT (-111.8935972 33.3275680)"

"POINT (-111.9526456 33.3272695)"
"POINT (-111.9511207 33.3272729)"
"POINT (-111.9510952 33.3272446)"
"POINT (-111.9510691 33.3272212)"
"POINT (-111.9510363 33.3271978)"
"POINT (-111.9509937 33.3271805)"
"POINT (-111.9509782 33.3271746)"
"POINT (-111.9509283 33.3271624)"
"POINT (-111.9504065 33.3271639)"
"POINT (-111.9504078 33.3271863)"
"POINT (-111.9503166 33.3272300)"
"POINT (-111.9501369 33.3272748)"
"POINT (-111.9455906 33.3272699)"
"POINT (-111.9455841 33.3235696)"
"POINT (-111.9369896 33.3236491)"
"POINT (-111.9370050 33.3234603)"
"POINT (-111.9370150 33.3234603)"
"POINT (-111.9369811 33.3201142)"
"POINT (-111.9279775 33.3200794)"
"POINT (-111.9279782 33.3201242)"

"POINT (-111.9533269 33.3272678)"
"POINT (-111.9509511 33.3344337)"
"POINT (-111.9502659 33.3344429)"
"POINT (-111.9526456 33.3272695)"

"POINT (-111.9722324 33.3270587)"
"POINT (-111.9632930 33.3271256)"
"POINT (-111.9632760 33.3201296)"
"POINT (-111.9632598 33.3201295)"
"POINT (-111.9632598 33.3200416)"
"POINT (-111.9630955 33.3200407)"
"POINT (-111.9630946 33.3201281)"
"POINT (-111.9629169 33.3201281)"
"POINT (-111.9629182 33.3200457)"
"POINT (-111.9617879 33.3200419)"
"POINT (-111.9614598 33.3200468)"
"POINT (-111.9609777 33.3200706)"
"POINT (-111.9604457 33.3200942)"
"POINT (-111.9598459 33.3201071)"
"POINT (-111.9557091 33.3200853)"
"POINT (-111.9533269 33.3272678)"

"POINT (-111.9261949 33.4396367)"
"POINT (-111.9258212 33.4396401)"
"POINT (-111.9258293 33.4401771)"
"POINT (-111.9255323 33.4401838)"
"POINT (-111.9247652 33.4402532)"
"POINT (-111.9247722 33.4404297)"
"POINT (-111.9180784 33.4404422)"
"POINT (-111.9180738 33.4382143)"
"POINT (-111.9181315 33.4380002)"
"POINT (-111.9181708 33.4378575)"
"POINT (-111.9182447 33.4376647)"
"POINT (-111.9183695 33.4374160)"
"POINT (-111.9184920 33.4372540)"
"POINT (-111.9184943 33.4374199)"
"POINT (-111.9189980 33.4374218)"
"POINT (-111.9189934 33.4368935)"
"POINT (-111.9188755 33.4368954)"
"POINT (-111.9188778 33.4369783)"
"POINT (-111.9187854 33.4369783)"
"POINT (-111.9187866 33.4368944)"
"POINT (-111.9187727 33.4368925)"
"POINT (-111.9189437 33.4367141)"
"POINT (-111.9222097 33.4366997)"
"POINT (-111.9222074 33.4356170)"
"POINT (-111.9228313 33.4356170)"
"POINT (-111.9229491 33.4355997)"
"POINT (-111.9229468 33.4365483)"
"POINT (-111.9241437 33.4365483)"
"POINT (-111.9241437 33.4361010)"
"POINT (-111.9260499 33.4360933)"
"POINT (-111.9260488 33.4367913)"
"POINT (-111.9261146 33.4367903)"
"POINT (-111.9261707 33.4392198)"
"POINT (-111.9261862 33.4392207)"
"POINT (-111.9261949 33.4396367)"

"POINT (-111.9606330 33.3308983)"
